target,n,v7_OOB_R2,v9_OOB_R2,delta_R2,v7_val_R2,v9_val_R2,delta_val_R2,pm_rank,n_preds
BGI,31069,0.9588,0.9597,9e-04,0.9576,0.9585,9e-04,12,17
Asym,31069,0.851,0.8559,0.0048,0.8474,0.8535,0.0062,10,17
