model,OOB_R2,OOB_RMSE,val_R2,val_RMSE,n_train
"v7_nogeo (climate only, no LAT/LON)",0.673,6.44,0.6975,6.201,36958
"v9_nogeo (climate + pm, no LAT/LON)",0.6747,6.424,0.6984,6.191,36958
