eco_L3,dstrb_grp,n,r_esi_bgi
8.3.7,Other,14603,0.107
8.3.5,Other,10508,0.133
8.3.4,Other,7058,0.149
6.2.14,None,6510,0.285
6.2.10,None,4000,0.202
8.5.1,Other,3975,0.1
8.5.1,None,3638,-0.067
8.4.1,Other,3430,0.214
8.3.4,None,2942,-0.147
8.4.3,Other,2626,0.018
13.1.1,None,2468,0.277
8.3.5,None,2450,0.32
8.4.2,Other,2365,0.109
6.2.13,None,2296,0.257
6.2.3,None,2124,0.315
6.2.15,None,2000,0.466
8.4.8,Other,1920,0.138
5.2.1,Other,1867,0.266
6.2.12,Other,1689,0.407
6.2.8,Other,1370,0.352
6.2.14,Insect,1344,0.275
8.4.5,Other,1206,0.097
8.5.3,Other,1111,0.375
8.3.6,Other,1085,0.166
13.1.1,Fire,1048,0.235
8.1.3,Other,954,-0.012
8.4.6,Other,890,-0.379
6.2.14,Disease,890,0.334
9.3.3,None,886,-0.049
8.4.4,None,854,-0.049
6.2.9,Other,853,0.612
6.2.4,None,830,0.182
8.5.1,Fire,820,0.207
6.2.10,Fire,756,0.254
6.2.10,Insect,750,0.032
8.4.7,Other,718,0.157
6.2.14,Fire,678,0.258
8.4.4,Other,637,-0.049
8.4.1,None,600,-0.274
6.2.15,Fire,594,0.425
8.3.1,Other,591,0.094
8.3.8,Other,529,-0.164
6.2.10,Disease,516,0.19
8.1.4,Other,501,0.066
6.2.7,Other,487,0.466
10.1.6,None,478,0.204
8.5.2,Other,391,-0.008
5.3.1,Other,368,0.344
6.2.9,None,368,0.572
8.1.1,Other,360,0.114
5.2.2,Other,360,0.583
8.1.5,Other,338,0.097
6.2.15,Insect,320,0.464
6.2.5,Other,318,0.104
8.4.9,Other,313,0.072
6.2.3,Disease,312,0.273
8.3.5,Fire,310,0.456
6.2.13,Insect,308,0.242
8.1.10,Other,286,-0.057
9.2.3,Other,285,0.14
6.2.15,Disease,284,0.547
8.5.3,None,280,0.355
9.5.1,Other,278,-0.061
13.1.1,Disease,274,0.265
6.2.8,None,270,0.203
6.2.11,Other,258,0.272
6.2.10,Other,239,-0.426
10.1.3,None,228,0.42
6.2.14,Other,215,0.319
9.2.4,Other,214,-0.032
6.2.12,None,194,0.606
6.2.13,Disease,194,0.274
6.2.10,Weather,190,0.22
6.2.3,Other,185,0.137
10.1.7,None,170,0.154
8.3.1,None,170,-0.484
6.2.3,Fire,164,0.366
8.3.5,Geologic,158,0.06
6.2.7,None,136,0.327
10.1.5,None,134,0.483
10.1.4,None,134,0.221
9.3.3,Fire,132,-0.075
8.3.5,Weather,130,0.192
13.1.1,Other,125,0.097
6.2.4,Fire,116,0.275
13.1.1,Geologic,110,0.137
10.1.3,Other,109,0.264
6.2.14,Weather,108,0.129
8.1.6,Other,105,-0.108
6.2.3,Insect,96,0.353
6.2.4,Disease,94,0.203
11.1.3,Other,93,-0.195
6.2.5,None,90,0.376
6.2.13,Fire,88,0.143
13.1.1,Veg suppression,86,0.165
6.2.10,Veg suppression,82,0.241
13.1.1,Insect,78,0.456
9.4.7,Other,77,0.658
9.4.2,Other,77,0.153
5.3.3,Other,76,-0.188
9.3.3,Other,71,-0.483
10.1.7,Fire,68,0.479
6.2.14,Geologic,68,0.24
8.3.4,Insect,66,-0.744
6.2.14,Veg suppression,64,-0.18
6.2.12,Disease,64,0.54
12.1.1,None,62,0.305
6.2.11,None,62,0.272
6.2.9,Disease,62,-0.019
8.2.1,Other,61,-0.21
8.5.3,Fire,56,0.034
6.2.8,Disease,56,0.469
10.1.4,Fire,56,0.382
9.4.3,None,52,-0.458
10.1.2,Other,52,0.235
