variable,importance
gspdd5,466409.11
gsptd,463294.53
gsp,368121.38
prdd5,286188.75
maptd,196834.22
sday,188141.66
pratio,163791
mapdd5,161895.49
gsdd5,146137.51
ffp,145077.68
mtwm,124962.11
dd5,109385.38
adimindd0,108190.68
prmtcm,107435.93
tdgsp,105729.57
map,97161.98
sdimindd0,87400.79
dd5mtcm,84988.89
mmindd0,84332.37
sdi,84266.1
adi,80846.28
mapmtcm,80153.97
tdmap,79913.88
mtcmmap,76632.27
mtcmgsp,76514.1
gspmtcm,76071.46
tdiff,74503.59
mmax,68215.84
mmin,67272.8
d100,62536.49
fday,62062.42
dd0,55740.33
mat,52278.19
mtcm,45476.23
pm_factor,22217.37
