pm_int,mean_esi,mean_bgi,n
1,28.1,1.67,35500
2,28.5,1.63,20622
3,24.1,2.17,24821
4,31.2,1.27,10136
5,31.8,1.29,8887
6,30.5,1.77,4348
7,26.7,1.86,4117
8,19.2,2.04,1130
9,39.9,1.09,494
10,26.7,1.6,439
