pm_category,n,mean_SITECLCD
Residuum,17354,5.37
Alluvial,12510,5.26
Marine,11508,4.48
Colluvium,6640,5.66
Glacial,6630,5.56
Eolian,2314,4.93
Other,2028,5.27
Organic,782,5.12
Volcanic,238,5.69
Lacustrine,230,4.92
