eco_L3,n_dstrb_cats,range_r,min_r,max_r,total_n
8.3.4,3,0.893,-0.744,0.149,10066
6.2.10,7,0.68,-0.426,0.254,6533
6.2.9,3,0.631,-0.019,0.612,1283
8.3.1,2,0.578,-0.484,0.094,761
6.2.14,8,0.514,-0.18,0.334,9877
8.4.1,2,0.488,-0.274,0.214,4030
9.3.3,3,0.434,-0.483,-0.049,1089
8.3.5,5,0.396,0.06,0.456,13556
13.1.1,7,0.359,0.097,0.456,4189
8.5.3,3,0.341,0.034,0.375,1447
10.1.7,2,0.325,0.154,0.479,238
8.5.1,3,0.274,-0.067,0.207,8433
6.2.5,2,0.272,0.104,0.376,408
6.2.8,3,0.266,0.203,0.469,1696
6.2.3,5,0.229,0.137,0.366,2881
6.2.12,3,0.199,0.407,0.606,1947
10.1.4,2,0.161,0.221,0.382,190
10.1.3,2,0.156,0.264,0.42,337
6.2.7,2,0.139,0.327,0.466,623
6.2.13,4,0.131,0.143,0.274,2886
6.2.15,4,0.122,0.425,0.547,3198
6.2.4,3,0.093,0.182,0.275,1040
8.3.7,1,0,0.107,0.107,14603
8.4.3,1,0,0.018,0.018,2626
8.4.2,1,0,0.109,0.109,2365
8.4.8,1,0,0.138,0.138,1920
5.2.1,1,0,0.266,0.266,1867
8.4.5,1,0,0.097,0.097,1206
8.3.6,1,0,0.166,0.166,1085
8.1.3,1,0,-0.012,-0.012,954
8.4.6,1,0,-0.379,-0.379,890
8.4.4,2,0,-0.049,-0.049,1491
8.4.7,1,0,0.157,0.157,718
8.3.8,1,0,-0.164,-0.164,529
8.1.4,1,0,0.066,0.066,501
10.1.6,1,0,0.204,0.204,478
8.5.2,1,0,-0.008,-0.008,391
5.3.1,1,0,0.344,0.344,368
8.1.1,1,0,0.114,0.114,360
5.2.2,1,0,0.583,0.583,360
8.1.5,1,0,0.097,0.097,338
8.4.9,1,0,0.072,0.072,313
8.1.10,1,0,-0.057,-0.057,286
9.2.3,1,0,0.14,0.14,285
9.5.1,1,0,-0.061,-0.061,278
6.2.11,2,0,0.272,0.272,320
9.2.4,1,0,-0.032,-0.032,214
10.1.5,1,0,0.483,0.483,134
8.1.6,1,0,-0.108,-0.108,105
11.1.3,1,0,-0.195,-0.195,93
9.4.7,1,0,0.658,0.658,77
9.4.2,1,0,0.153,0.153,77
5.3.3,1,0,-0.188,-0.188,76
12.1.1,1,0,0.305,0.305,62
8.2.1,1,0,-0.21,-0.21,61
9.4.3,1,0,-0.458,-0.458,52
10.1.2,1,0,0.235,0.235,52
