dstrb_grp,n_L3,range_r,min_r,max_r,total_n
Insect,7,1.208,-0.744,0.464,2962
Other,48,1.141,-0.483,0.658,66227
None,28,1.09,-0.484,0.606,34426
Disease,10,0.566,-0.019,0.547,2746
Fire,13,0.554,-0.075,0.479,4886
Veg suppression,3,0.421,-0.18,0.241,232
Geologic,3,0.18,0.06,0.24,336
Weather,3,0.091,0.129,0.22,428
