mukey,pm_dom,comppct_dom,n_pm
56191,colluvium derived from igneous rock,45,4
56192,slope alluvium derived from shale,55,4
56193,slope alluvium over colluvium derived from igneous rock,60,4
56194,slope alluvium over colluvium derived from igneous rock,65,3
56195,slope alluvium over colluvium derived from igneous rock,45,3
56199,colluvium derived from igneous rock,90,2
56226,slope alluvium derived from igneous rock,45,4
56227,slope alluvium over colluvium derived from igneous rock,85,2
56248,slope alluvium derived from pumice,85,3
56352,residuum weathered from tuff,25,1
56379,residuum weathered from tuff,90,1
56381,colluvium derived from volcanic rock,45,2
56423,slope alluvium over residuum weathered from granite,40,1
56438,residuum weathered from pumice,65,2
56449,colluvium and residuum weathered from tuff and/or colluvium and residuum weathered from rhyolite,35,1
56461,slope alluvium over colluvium derived from rhyolite,85,1
56462,slope alluvium over colluvium derived from rhyolite,50,2
56463,slope alluvium over colluvium derived from rhyolite,85,1
56467,colluvium derived from tuff,60,1
56472,colluvium derived from tuff,85,1
56473,colluvium derived from tuff,85,1
56653,mixed alluvium,97,1
56657,mixed alluvium,90,1
56658,mixed alluvium and/or colluvium,96,1
56661,mixed alluvium,98,1
56664,mixed alluvium and/or colluvium,50,1
56672,mixed alluvium and/or residuum,97,1
56675,mixed alluvium and/or colluvium,55,1
56676,mixed alluvium and/or colluvium,96,1
56832,slope alluvium derived from tuff,45,1
56835,slope alluvium derived from tuff,50,2
56853,volcanic and metamorphic rock,85,1
56870,alluvium derived from shale,80,1
56871,slope alluvium derived from basalt,35,1
56875,colluvium over alluvium derived from basalt,65,1
56879,slope alluvium derived from basalt,60,1
56883,colluvium over slope alluvium derived from sandstone and shale,35,1
56884,slope alluvium derived from sandstone and siltstone,85,1
56888,eolian deposits derived from sandstone,25,1
56905,colluvium derived from volcanic and sedimentary rock,45,1
56908,slope alluvium derived from shale,55,1
56913,colluvium derived from volcanic and sedimentary rock,50,1
56921,slope alluvium derived from sandstone and shale,45,1
56928,colluvium over slope alluvium derived from shale and siltstone,55,2
56932,slope alluvium derived from sandstone and shale,45,2
56938,slope alluvium derived from sandstone and shale,45,1
56943,colluvium over slope alluvium derived from sandstone and shale,35,1
57097,stream alluvium derived from sandstone and shale,90,1
57141,stream alluvium derived from sandstone and shale,90,1
57243,slope alluvium and colluvium over residuum weathered from shale,30,2
57259,slope alluvium and colluvium derived from sandstone over residuum weathered from shale,40,1
57267,fan alluvium derived from sandstone and shale,45,2
57282,"slope alluvium over residuum weathered from limestone, sandstone, and shale",50,2
57284,slope alluvium over residuum weathered from sandstone,50,2
57285,colluvium over residuum weathered from granite and gneiss,50,2
