mukey,pm_dom,comppct_dom,n_pm
294782,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, derived mainly from acidic rocks, with some limestone below 40 inches",80,1
294784,"loamy till derived mainly from acid sandstone, siltstone, and shale",75,4
294786,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",85,3
294788,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",85,3
294789,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",75,4
294797,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, derived mainly from sandstone, shale, and siltstone",75,1
294798,"loamy till dominated by siltstone, sandstone, and shale fragments",75,4
294803,alluvium with highly variable texture,40,1
294804,till,80,4
294806,"clayey till, or till and residuum, derived from acid shale and siltstone",40,5
294807,"clayey till, or till and residuum, derived from acid shale and siltstone",40,5
294808,"clayey till, or till and residuum, derived from acid shale and siltstone",45,4
294813,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, containing significant amounts of limestone",80,1
294815,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, containing significant amounts of limestone",41,2
294826,loamy till derived from sandstone and siltstone,90,3
294827,loamy till derived from sandstone and siltstone,90,3
294829,loamy till derived from sandstone and siltstone,50,3
294830,loamy till derived mainly from sandstone and limestone,80,1
294832,loamy till,85,4
294833,loamy till,88,4
294834,loamy till,85,4
294850,organic material over loamy glacial drift,80,1
294851,loamy glaciofluvial deposits,80,1
294857,loamy till derived from interbedded sedimentary rock,90,3
294858,loamy till derived from interbedded sedimentary rock,90,3
294859,loamy till derived from interbedded sedimentary rock,90,3
294883,"a mantle of silty eolian or glaciolacustrine deposits over loamy dense till derived mainly from sandstone, igneous, or meta-igneous rock",31,3
294887,"a mantle of eolian or glaciolacustrine deposits over loamy dense till derived mainly from sandstone, igneous, or meta-igneous rock",35,2
294890,loamy till derived from gneiss,45,6
294895,loamy till derived from gneiss,45,6
294915,"sandy and gravelly glaciofluvial deposits of predominantly granitic rock, with lesser amounts of sandstone and schist",40,2
294924,sandy glaciofluvial or deltaic deposits derived mainly from crystalline rock and/or sandstone,80,1
294926,sandy glaciofluvial or deltaic deposits derived mainly from crystalline rock and/or sandstone,80,1
294951,calcareous silty and clayey glaciolacustrine deposits derived from igneous and sedimentary rock and/or calcareous silty and clayey glaciomarine deposits derived from igneous and sedimentary rock,85,4
294958,loamy till derived mainly from gneiss or sandstone,45,1
294959,loamy till derived mainly from gneiss or sandstone,45,1
294978,calcareous silty and clayey glaciolacustrine deposits derived from igneous and sedimentary rock and/or calcareous silty and clayey glaciomarine deposits derived from igneous and sedimentary rock,85,2
295020,loamy till derived mainly from limestone or other calcareous rock,35,2
295028,loamy till derived from gneiss,40,7
295062,"loamy till derived mostly from reddish sandstone, shale, and conglomerate",85,1
295071,"a thin mantle of loamy till derived from reddish or brownish, acid sandstone, siltstone, and shale",41,2
295073,"a thin mantle of loamy till derived from reddish or brownish, acid sandstone, siltstone, and shale",31,2
295075,"loamy till derived mainly from reddish  sandstone, siltstone, and shale",85,3
295076,"loamy till derived mainly from reddish  sandstone, siltstone, and shale",90,3
295096,"acid loamy till derived from sandstone, siltstone, and shale",45,2
295101,"reddish loamy till derived from sandstone, siltstone, and shale",90,3
295103,"reddish loamy till derived from sandstone, siltstone, and shale",50,5
295133,"loamy till derived mainly from quartzite, conglomerate, and sandstone",41,6
295155,"loamy till derived mainly from reddish sandstone, siltstone, and shale",85,1
295157,"loamy till derived mainly from reddish sandstone, siltstone, and shale",41,2
295161,"loamy till derived mainly from reddish sandstone, siltstone, and shale",80,1
295301,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",85,3
295305,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",75,4
295307,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",50,6
295308,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",50,6
295319,clayey and silty glaciolacustrine deposits,80,1
295338,"a silty mantle of glaciolacustrine deposits over loamy till derived from siltstone, shale, and sandstone",80,1
295342,loamy till derived predominantly from calcareous gray shale,80,1
295345,loamy till derived predominantly from calcareous gray shale,80,1
295349,till,80,2
295351,till,80,4
295352,till,80,4
295383,till,85,2
295403,loamy till,85,3
295404,loamy till,85,4
295410,a silty mantle over loamy till derived from calcareous shale and siltstone,80,1
295416,silty and clayey alluvium washed from uplands that contain some calcareous drift,80,1
295425,"loamy till derived primarily from limestone and sandstone, with a component of schist, shale, or granitic rocks in some areas",75,1
295431,gravelly loamy glaciofluvial deposits over clayey glaciolacustrine deposits,80,1
295446,loamy till derived from sandstone and siltstone,35,5
295477,"silty alluvium mainly from areas of siltstone, shale, and limestone",75,1
295500,loamy till,85,4
295507,channery loamy till derived mainly from local slate or shale,35,2
295533,"loamy till derived mainly from acid sandstone, siltstone, and shale",35,3
295537,red clayey glaciolacustrine deposits derived from calcareous shale,85,4
295539,"loamy till dominated by sandstone, with lesser amounts of limestone and shale",41,4
295582,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",40,6
295584,"loamy till derived mainly from gray and brown siltstone, sandstone, and shale",40,7
295604,till,60,2
295611,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, containing significant amounts of limestone",75,1
295627,clayey and silty glaciolacustrine deposits,50,2
295634,"calcareous loamy lodgment till derived from limestone, sandstone, and shale",50,6
295635,till,85,1
295637,till,85,2
295649,loamy till derived from sandstone and siltstone,85,4
295654,calcareous loamy lodgment till derived from limestone and shale,75,6
295656,loamy till,85,4
295672,"loamy over sandy and gravelly glaciofluvial deposits, derived mainly from limestone and other sedimentary rocks",75,1
295683,loamy till derived from interbedded sedimentary rock,90,3
295685,loamy till derived from interbedded sedimentary rock,90,3
295695,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, derived mainly from acidic rocks, with some limestone below 40 inches",80,1
295708,deep organic material,80,1
295717,sandy glaciofluvial or eolian deposits,80,1
295737,"loamy till derived mainly from sandstone, with varying amounts of limestone and shale",80,1
295757,loamy till dominated by siliceous rocks with varying proportions of limestone,50,1
295772,"loamy over sandy and gravelly glaciofluvial deposits, derived mainly from limestone and other sedimentary rocks",80,1
295785,"loamy till derived mainly from sandstone, with varying components of limestone, shale, and crystalline rock",80,1
295790,glaciolacustrine or eolian deposits high in silt and very fine sand,80,1
295793,silty and clayey alluvium derived from interbedded sedimentary rock,60,2
295795,glaciolacustrine or eolian deposits with a high content of silt and very fine sand,80,1
295803,"loamy till dominated by siltstone, sandstone, and shale fragments",85,2
295814,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, derived mainly from sandstone, shale, and siltstone",80,1
295826,loamy till derived from sandstone and siltstone,80,3
295827,loamy till derived from sandstone and siltstone,85,4
295828,loamy till derived from sandstone and siltstone,90,3
295829,loamy till derived from sandstone and siltstone,80,4
295830,loamy till derived from sandstone and siltstone,80,3
295835,loamy till,88,4
295836,loamy till,85,3
295841,"loamy till derived mainly from acid sandstone, siltstone, and shale",45,3
295847,"glaciolacustrine deposits, eolian deposits, or old alluvium, comprised mainly of silt and very fine sand",80,1
295851,loamy till derived from interbedded sedimentary rock,90,3
295854,loamy till derived from interbedded sedimentary rock,90,3
296161,till,85,2
296183,coarse-loamy outwash,90,2
296189,coarse-loamy outwash,90,4
296202,till,90,1
296218,till,90,1
296219,till,90,1
296221,till,90,2
296226,gravelly outwash,95,2
296227,gravelly outwash,95,2
296235,till,85,2
296236,till,90,1
296240,coarse-loamy outwash,90,3
296243,loamy till over residuum weathered from sandstone and shale,85,2
296250,till,90,1
296589,"loamy till derived mainly from acid sandstone, siltstone, and shale",90,2
296590,"loamy till derived mainly from acid sandstone, siltstone, and shale",90,2
296592,reddish alluvium derived from sedimentary rock,87,1
296602,loamy till,90,2
296606,loamy till,85,3
296608,"loamy till from reddish sandstone, siltstone, and shale",90,2
296610,"loamy till from reddish sandstone, siltstone, and shale",90,2
296611,"loamy till from reddish sandstone, siltstone, and shale",90,2
296615,"reddish loamy till derived from sandstone, siltstone,  and shale",85,4
296617,reddish loamy till derived from sandstone and shale,90,3
296618,reddish loamy till derived from sandstone and shale,85,4
296619,reddish loamy till derived from sandstone and shale,50,4
296632,loamy till derived from interbedded sedimentary rock,90,3
296639,reddish ablation till derived from sandstone and siltstone,80,2
296641,sandy and gravelly glaciofluvial deposits derived from sandstone and siltstone,90,3
296744,sandy and gravelly outwash and alluvium derived from sedimentary and metamorphic rock,82,3
296754,residuum weathered from sandstone and shale,50,6
296757,loamy till derived from sandstone and siltstone,90,3
296758,loamy till derived from sandstone and siltstone,90,3
296759,loamy till derived from sandstone and siltstone,85,4
296761,loamy till derived from sandstone and siltstone,85,3
296762,loamy till,85,4
296763,loamy till,88,4
296764,loamy till,85,4
296773,till derived from sandstone and siltstone,75,1
296774,"reddish loamy till derived from sandstone, siltstone, and shale",90,3
296780,coarse-loamy outwash derived from sandstone and shale,50,2
296783,alluvium,80,1
296787,loamy till derived from interbedded sedimentary rock,90,3
296788,loamy till derived from interbedded sedimentary rock,90,3
297052,brownish loamy till derived from sandstone and siltstone,35,4
297053,brownish loamy till derived from sandstone and siltstone,35,4
297056,loamy till,85,4
297058,loamy till,88,4
297060,loamy till,85,3
297061,loamy till,85,4
297062,loamy till,85,4
297071,"loamy till from reddish sandstone, siltstone, and shale",85,3
297078,loamy till derived from interbedded sedimentary rock,90,3
297079,loamy till derived from interbedded sedimentary rock,90,3
297080,loamy till derived from interbedded sedimentary rock,90,3
297082,loamy till derived from interbedded sedimentary rock,90,3
297085,loamy till derived from interbedded sedimentary rock,90,3
297088,"loamy till from reddish sandstone, siltstone, and shale",90,2
297091,"loamy till from reddish sandstone, siltstone, and shale",85,3
297094,"loamy till from reddish sandstone, siltstone, and shale",85,3
297162,loamy till derived from interbedded sedimentary rock,90,3
297163,loamy till derived from interbedded sedimentary rock,90,3
298736,residuum weathered from shale and siltstone,85,3
298738,residuum weathered from shale and siltstone,85,2
298741,till,90,1
298742,till,90,1
298755,loamy colluvium and residuum weathered from interbedded sedimentary rock,85,2
298761,"nonacid coal extraction mine spoil derived from limestone, sandstone, and shale",100,1
298777,residuum weathered from sandstone and siltstone,85,4
298798,loess over residuum weathered from shale and siltstone,90,2
298817,till,90,1
298840,till,30,2
298847,loamy colluvium and residuum weathered from sandstone and siltstone,55,3
298848,loamy colluvium and residuum weathered from sandstone and siltstone,55,3
299721,"loamy till from reddish sandstone, siltstone, and shale",88,3
299728,"loamy till derived from siltstone, shale, and sandstone",90,4
299748,"brownish loamy till derived from gray and brown sandstone, siltstone and shale",85,3
299751,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, containing significant amounts of limestone",90,3
299752,"gravelly loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, containing significant amounts of limestone",90,3
299756,"brownish loamy till derived from interbedded sandstone, siltstone and shale",90,3
299757,"brownish loamy till derived from interbedded sandstone, siltstone and shale",90,3
299765,"loamy till derived mainly from siltstone, shale, and sandstone, over silty and clayey glaciolacustrine deposits",60,3
299766,"loamy till derived mainly from siltstone, shale, and sandstone, over silty and clayey glaciolacustrine deposits",60,3
299771,clayey and silty glaciolacustrine deposits,95,2
299786,brownish loamy till derived from sandstone and siltstone,85,4
299791,till,80,4
299792,till,80,4
299865,clayey and silty glaciolacustrine deposits,95,3
299913,"loamy till derived mainly from sandstone, siltstone, and shale",90,4
299915,"loamy till derived mainly from sandstone, siltstone, and shale",35,5
299929,"loamy till derived mainly from siltstone, shale, and sandstone",95,2
299930,"loamy till derived mainly from siltstone, shale, and sandstone",95,2
299933,"loamy till derived from siltstone, shale, and sandstone",95,2
299934,"loamy till derived from siltstone, shale, and sandstone",95,2
299935,"loamy till derived from siltstone, shale, and sandstone",95,2
299943,loamy till,88,4
299944,loamy till,85,4
299956,loamy till derived from interbedded sedimentary rock,90,3
299968,"loamy till derived mainly from shale, siltstone, and smaller amounts of sandstone",90,4
299970,"loamy till derived mainly from shale, siltstone, and smaller amounts of sandstone",90,4
299972,"loamy till derived from sandstone, siltstone, and shale",94,3
299988,"loamy till derived from sandstone, siltstone, and shale",90,4
299996,gravelly loamy glaciofluvial deposits over clayey glaciolacustrine deposits,90,3
299998,gravelly loamy glaciofluvial deposits over clayey glaciolacustrine deposits,90,3
301676,a thin silt mantle overlying till that is strongly influenced by shale,80,1
301688,silty and clayey glaciolacustrine deposits,80,1
301709,deltaic deposits with a high content of fine and very fine sand,80,1
301714,"calcareous loamy lodgment till derived from limestone, sandstone, and shale",85,3
301735,brown clayey glaciolacustrine deposits derived from calcareous shale,85,5
301741,loamy till derived mainly from local acid shale bedrock,80,1
301780,"loamy glaciofluvial deposits over sandy and gravelly glaciofluvial deposits, containing significant amounts of limestone",80,1
301794,red clayey glaciolacustrine deposits derived from calcareous shale,85,4
301800,sandy glaciofluvial or glaciolacustrine deposits,80,1
319693,friable loamy till underlain by firm sandy lodgment till derived from igneous and metamorphic rock,80,1
319944,"coarse-loamy lodgment till derived from gneiss, granite, and/or schist",80,2
319977,loamy lodgement till derived from gneiss,40,6
320671,sandy and loamy marine deposits,70,2
320681,sandy marine deposits and/or sandy eolian deposits,85,6
320695,sandy and loamy marine deposits,85,3
320700,sandy marine deposits and/or loamy marine deposits,82,5
320717,sandy marine deposits,85,4
320722,marine deposits,10,1
320739,sandy marine deposits,75,1
320744,sandy and loamy marine deposits,85,2
320746,sandy and loamy marine deposits,65,2
320750,eolian deposits or sandy fluvial or marine deposits,85,5
320753,sandy and clayey marine deposits,88,3
320782,loamy marine deposits,80,3
320794,sandy and loamy marine deposits,60,3
320797,sandy and loamy marine deposits,90,2
320798,eolian or sandy marine deposits,90,2
320801,sandy marine deposits,80,2
320808,sandy marine deposits,95,2
320810,herbaceous organic material over sandy marine deposits,40,7
320811,sandy marine deposits,90,2
320813,sandy marine deposits,90,2
320817,sandy marine deposits and/or fluviomarine deposits,85,3
320819,sandy marine deposits,65,1
320821,sandy and loamy marine deposits,85,4
320823,sandy and loamy marine deposits,80,5
320838,sandy marine deposits and/or fluviomarine deposits,85,6
320839,sandy marine deposits and/or fluviomarine deposits,35,6
320843,sandy marine deposits,80,2
321052,sandy marine deposits and/or loamy marine deposits,82,5
321066,sandy marine deposits and/or sandy eolian deposits,85,6
321067,eolian or sandy marine deposits,80,4
321079,sandy and loamy marine deposits,85,2
321088,eolian or sandy marine deposits over loamy marine deposits,85,4
321089,altered marine deposits,90,6
321094,sandy marine deposits,92,2
321095,sandy marine deposits over limestone,80,2
321794,eolian or sandy marine deposits,78,3
321799,sandy and loamy alluvium,40,5
321802,eolian or sandy marine deposits,80,2
321807,sandy marine deposits,80,2
321811,eolian or sandy marine deposits,80,2
321817,sandy and loamy marine deposits,55,3
321819,sandy marine deposits,85,2
322074,sandy and loamy marine deposits,70,2
322076,sandy marine deposits and/or sandy eolian deposits,85,6
322079,sandy and loamy marine deposits,85,2
322084,clayey marine deposits,78,3
322092,sandy marine deposits over loamy marine deposits,80,4
322095,eolian deposits or sandy marine deposits,85,4
322097,sandy and clayey marine deposits,88,4
322100,sandy and loamy marine deposits,90,3
322114,eolian or sandy marine deposits,85,4
322698,sandy marine deposits and/or fluviomarine deposits,47,3
322706,sandy and loamy marine deposits,90,1
322711,loamy marine deposits,90,2
322718,sandy and loamy marine deposits,35,3
322720,sandy and loamy marine deposits,45,2
322722,sandy marine deposits,80,2
322727,sandy marine deposits,80,2
322736,loamy and sandy marine deposits and/or fluviomarine deposits,35,3
322738,sandy and loamy marine deposits,85,3
322739,loamy marine deposits,50,3
322747,sandy and loamy marine deposits and/or fluviomarine deposits,35,4
322748,sandy fluviomarine deposits,35,4
322756,sandy and loamy marine deposits and/or fluviomarine deposits,40,4
322768,sandy and loamy marine deposits,35,3
322770,sandy marine deposits,84,2
323123,sandy and loamy marine deposits,74,3
323124,clayey marine deposits,54,4
323127,sandy and loamy marine deposits,83,2
323136,sandy and loamy marine deposits,60,1
323151,sandy marine deposits,60,2
323155,herbaceous organic material over sandy marine deposits,85,5
323156,herbaceous organic material over sandy marine deposits,47,4
323179,sandy marine deposits,95,1
323181,sandy marine deposits and/or sandy eolian deposits,85,6
323184,organic material over sandy and loamy marine deposits,80,3
323193,sandy marine deposits,90,2
323199,sandy and loamy marine deposits,85,1
323202,eolian deposits or sandy marine deposits,85,4
323208,loamy alluvium,75,5
323244,sandy marine deposits,60,2
323372,sandy marine deposits and/or sandy eolian deposits,85,6
323380,sandy and loamy marine deposits,85,5
323386,herbaceous organic material over sandy and loamy marine deposits,85,6
323389,sandy marine deposits,90,1
323390,herbaceous organic material,90,6
323393,sandy and loamy marine deposits,80,2
323394,sandy marine deposits,70,2
323397,sandy marine deposits and/or loamy marine deposits,85,3
323398,sandy and loamy marine deposits,85,2
323400,sandy and loamy marine deposits,45,2
323401,herbaceous organic material over clayey marine deposits,85,3
323405,sandy marine deposits,85,3
323406,sandy marine deposits,90,2
323411,eolian or sandy marine deposits,90,2
323423,sandy and loamy marine deposits,60,2
323427,eolian or sandy marine deposits,85,4
323436,sandy and loamy marine deposits,75,2
323628,sandy and loamy marine deposits,60,4
323635,sandy marine deposits,85,3
323636,clayey marine deposits,80,4
323638,sandy marine deposits,80,4
323641,sandy and loamy marine deposits,80,3
323644,sandy and loamy marine deposits,85,3
323652,sandy and loamy marine deposits,70,2
323656,sandy and loamy marine deposits,80,2
323657,herbaceous organic material,90,6
323661,eolian deposits and/or sandy and loamy marine deposits,80,4
323671,sandy and loamy marine deposits,70,2
323676,sandy and loamy marine deposits,80,5
323677,sandy and loamy marine deposits,70,4
323979,marine deposits,80,3
323982,sandy marine deposits over loamy marine deposits,80,7
323983,sandy marine deposits over loamy marine deposits,80,6
323985,eolian deposits or sandy fluvial or marine deposits,80,3
323986,sandy marine deposits,80,2
323987,eolian or sandy marine deposits,90,3
323989,sandy and loamy marine deposits,80,3
323990,sandy and loamy marine deposits,70,4
323991,sandy marine deposits,80,2
323995,loamy and clayey marine deposits derived from sedimentary rock,90,3
323996,sandy marine deposits and/or fluviomarine deposits,92,3
323999,sandy and loamy marine deposits,75,3
324000,loamy marine deposits,75,3
324001,sandy and loamy marine deposits,80,3
324002,sandy and loamy marine deposits,88,3
324005,sandy and loamy marine deposits,40,4
324008,sandy and loamy marine deposits,35,4
324018,sandy and loamy marine deposits,80,4
324019,sandy and loamy marine deposits,34,8
324029,sandy marine deposits,90,2
324033,loamy fluviomarine deposits over loamy to clayey fluviomarine deposits,80,5
324044,sandy alluvium,70,4
324047,organic material,60,6
324599,sandy alluvium,45,3
324609,loamy marine deposits,85,1
324623,alluvium,55,1
324624,alluvium,50,1
324634,marine deposits,100,1
324638,marine deposits,100,1
324640,alluvium,70,1
324645,sandy marine deposits,80,1
324650,sandy and loamy marine deposits,80,1
324651,marine deposits,80,1
324652,loamy and clayey marine deposits,80,1
324659,marine deposits,70,1
324660,marine deposits,55,1
324661,marine deposits,55,1
324662,alluvium,100,1
324834,sandy and loamy marine deposits,80,2
324840,sandy marine deposits over loamy marine deposits,80,1
324842,marine deposits,100,1
324843,sandy marine deposits,80,2
324844,sandy marine deposits over loamy marine deposits,80,2
324848,marine deposits,95,1
324850,marine deposits,95,1
324852,loamy marine deposits,80,1
324856,loamy marine deposits,85,1
324922,sandy and loamy marine deposits,80,2
324927,clayey marine deposits,80,1
324935,sandy marine deposits over loamy marine deposits,80,1
324941,sandy marine deposits over loamy marine deposits,80,2
324953,loamy marine deposits,85,1
325101,loamy marine deposits,80,1
325104,marine deposits,100,1
325106,marine deposits,80,1
325110,marine deposits,60,1
325111,marine deposits,60,1
325113,sandy marine deposits over loamy marine deposits,80,1
325117,alluvium,100,1
325121,sandy and loamy marine deposits,85,1
325127,loamy marine deposits,80,1
325130,sandy marine deposits over loamy marine deposits,80,2
325132,loamy marine deposits,85,1
325134,marine deposits,100,1
325136,sandy and loamy marine deposits,80,2
325138,marine deposits,95,1
325143,marine deposits,90,1
325145,marine deposits,65,1
325147,marine deposits,60,1
325153,marine deposits,100,1
325159,sandy and loamy marine deposits,85,1
325163,marine deposits,85,2
325164,marine deposits,85,2
325165,sandy and loamy marine deposits,80,1
325166,marine deposits,80,1
325168,sandy alluvium,45,3
325174,loamy marine deposits,85,1
325176,sandy and loamy marine deposits,80,1
325178,marine deposits,70,1
325180,alluvium,100,1
325184,sandy and loamy marine deposits,80,2
325188,clayey marine deposits,80,1
325190,loamy marine deposits,80,1
325198,marine deposits,100,1
325203,sandy marine deposits over loamy marine deposits,80,1
325211,sandy alluvium,45,3
325224,loamy marine deposits,85,1
325375,alluvium,100,1
325404,alluvium,55,1
325414,sandy and loamy marine deposits,80,2
325417,clayey marine deposits,80,1
325422,marine deposits,80,1
325423,marine deposits,80,1
325426,marine deposits,100,1
325428,clayey marine deposits,73,1
325429,sandy marine deposits over loamy marine deposits,80,1
325431,sandy marine deposits,80,1
325432,sandy marine deposits over loamy marine deposits,80,2
325438,marine deposits,100,1
325440,marine deposits,85,2
325443,sandy and loamy marine deposits,80,3
325445,marine deposits,80,1
325447,loamy marine deposits,80,1
325450,sandy marine deposits over loamy marine deposits,80,2
325451,loamy marine deposits,85,1
325452,loamy marine deposits,85,1
325453,loamy marine deposits,85,1
325455,alluvium,100,1
325456,marine deposits,100,1
325471,marine deposits,95,2
325472,marine deposits,100,1
325473,marine deposits,100,1
325477,alluvium,60,1
325478,alluvium,100,1
325488,marine deposits,85,2
325492,sandy and loamy marine deposits,80,3
325494,marine deposits,80,1
325498,marine deposits,100,1
325500,marine deposits,100,1
325507,loamy marine deposits,85,1
325513,marine deposits,100,1
325543,sandy and loamy marine deposits,80,2
325544,sandy and loamy marine deposits,80,2
325545,marine deposits,100,1
325546,clayey marine deposits,80,1
325559,sandy marine deposits over loamy marine deposits,80,2
325561,sandy alluvium,45,3
325573,loamy marine deposits,85,1
325574,loamy marine deposits,85,1
325575,loamy marine deposits,85,1
325576,sandy and loamy marine deposits,80,2
325594,marine deposits,80,2
325610,marine deposits,100,1
325616,loamy marine deposits,85,1
325617,loamy marine deposits,85,1
325757,marine deposits,90,2
325758,loamy alluvium,45,5
325765,marine deposits,80,1
325771,marine deposits,100,1
325772,marine deposits,100,1
325777,marine deposits,100,1
325782,sandy marine deposits,80,2
325786,marine deposits,100,1
325794,loamy and clayey marine deposits,80,1
325796,loamy marine deposits,80,1
325802,marine deposits,100,1
325804,loamy marine deposits,85,1
325809,marine deposits,100,1
325810,marine deposits,100,1
325880,alluvium,100,1
325885,marine deposits,100,1
325887,marine deposits,100,1
325890,marine deposits,100,1
325896,marine deposits,100,1
325900,marine deposits,100,1
325909,marine deposits,100,1
325917,marine deposits,85,2
325923,loamy marine deposits,85,1
325925,marine deposits,100,1
325935,marine deposits,100,1
325991,sandy marine deposits over loamy marine deposits,80,1
325992,loamy fluviomarine deposits,85,2
325993,marine deposits,100,1
325995,marine deposits,100,1
326000,sandy and loamy marine deposits,95,2
326003,sandy and loamy marine deposits,85,1
326009,marine deposits,80,1
326019,loamy marine deposits,85,1
326020,loamy marine deposits,85,1
326022,marine deposits,100,1
326023,marine deposits,100,1
326028,marine deposits,100,1
326030,sandy and loamy marine deposits,85,1
326032,marine deposits,85,2
326035,marine deposits,80,1
326037,sandy and loamy marine deposits,80,3
326040,loamy marine deposits,80,1
326041,loamy marine deposits,80,1
326199,sandy alluvium,45,3
326204,loamy marine deposits,42,2
326206,marine deposits,80,1
326207,clayey marine deposits,75,1
326216,sandy marine deposits,80,2
326225,loamy marine deposits,80,1
326236,loamy marine deposits,85,1
326239,marine deposits,100,1
326240,marine deposits,100,1
326243,clayey marine deposits,80,1
326248,clayey marine deposits,85,1
326251,marine deposits,100,1
326255,marine deposits,100,1
326260,loamy alluvium,45,5
326261,sandy and loamy marine deposits,85,1
326262,sandy and loamy marine deposits,85,1
326264,sandy marine deposits,80,2
326266,marine deposits,85,2
326271,loamy and clayey marine deposits,80,1
326273,marine deposits,100,1
326274,marine deposits,100,1
326278,loamy marine deposits,80,1
326279,loamy marine deposits,85,1
326281,marine deposits,100,1
326283,marine deposits,100,1
326990,silty alluvium,50,3
326991,silty marine deposits,90,5
326998,loamy alluvium derived from sedimentary rock,90,2
327000,late Plisetocene age terraces with loamy alluvium derived from sedimentary rock,90,3
327009,Pleistocene fluviomarine deposits,90,3
327010,Pleistocene fluviomarine deposits,85,5
327011,loamy alluvium,60,1
327013,"Pliestocene age, loamy fluviomarine deposits",95,2
327017,loamy fluviomarine deposits,90,3
327020,loamy alluvium derived from sedimentary rock,85,2
327464,loamy  over sandy alluvium,100,1
327468,loamy alluvium,100,1
327471,loess over marine deposits,88,3
327491,loess over loamy marine deposits,100,1
327494,loamy fluviomarine deposits derived from sedimentary rock,90,3
327496,loamy marine deposits,60,2
327506,loess over clayey marine deposits,51,2
327956,stratified loamy  and/or sandy alluvium,100,1
327963,stratified clayey  and/or loamy marine deposits,100,1
327965,loamy marine deposits derived from sedimentary rock,90,2
327969,clayey marine deposits over residuum weathered from chalk,60,2
327983,loamy fluviomarine deposits derived from sedimentary rock,90,4
327985,loamy fluviomarine deposits derived from sedimentary rock,90,3
328060,loamy marine deposits derived from sedimentary rock and/or loamy alluvium derived from sedimentary rock,85,2
328073,loamy marine deposits derived from sedimentary rock,85,2
328075,loamy alluvium derived from sedimentary rock,45,3
328084,coarse-loamy marine deposits,85,3
328085,loamy alluvium derived from sedimentary rock,85,1
328086,clayey alluvium derived from sedimentary rock,85,1
328102,stratified sandy and silty alluvium derived from sedimentary rock,40,2
328107,loamy marine deposits derived from sedimentary rock,85,2
328109,loamy marine deposits derived from sedimentary rock,31,4
328110,loamy marine deposits derived from sedimentary rock,31,4
328112,loamy marine deposits derived from sedimentary rock,31,4
328115,clayey marine deposits derived from sedimentary rock,85,2
328116,clayey marine deposits derived from sedimentary rock,85,2
328118,clayey marine deposits derived from sedimentary rock,80,2
328122,sandy  over clayey marine deposits derived from sedimentary rock,85,2
328128,sandy  over clayey marine deposits derived from sedimentary rock,40,4
328132,red clayey marine deposits derived from sedimentary rock,85,2
328133,red clayey marine deposits derived from sedimentary rock,85,3
328138,clayey fluviomarine deposits derived from sedimentary rock,36,2
328140,fine-loamy fluviomarine deposits derived from sedimentary rock,85,2
328142,clayey marine deposits derived from sedimentary rock,85,1
328148,loamy marine deposits derived from sedimentary rock,40,3
328153,loamy and clayey fluviomarine deposits,85,2
328154,loamy over sandy fluviomarine deposits derived from sedimentary rock,85,2
328156,sandy alluvium derived from sedimentary rock,85,3
328158,sandy marine deposits derived from sedimentary rock,85,2
328159,sandy marine deposits derived from sedimentary rock,85,2
328160,sandy marine deposits derived from sedimentary rock,90,2
328166,loamy alluvium derived from sedimentary rock,85,2
328170,clayey marine deposits derived from sedimentary rock,90,1
328174,clayey alluvium,40,2
328175,loamy fluviomarine deposits over loamy to clayey fluviomarine deposits,85,1
328178,loamy alluvium derived from sedimentary rock,90,1
328179,fine-loamy marine deposits derived from sedimentary rock,90,2
328180,fine-loamy marine deposits derived from sedimentary rock,85,3
328186,loamy and clayey marine deposits derived from sedimentary rock,85,3
328189,sandy over loamy fluviomarine deposits derived from sedimentary rock,90,1
328192,loamy alluvium derived from sedimentary rock,90,1
328195,unconsolidated loamy marine deposits derived from sedimentary rock,85,3
328196,sandy & gravelly alluvium derived from sedimentary rock,90,2
328199,Pleistocene loamy fluviomarine deposits derived from sedimentary rock,85,3
328204,sandy fluviomarine deposits derived from sedimentary rock,90,2
328206,sandy marine deposits derived from sedimentary rock,50,2
328214,herbaceous plant remains over mineral soils,70,3
328216,loamy marine deposits derived from sedimentary rock,85,3
328223,decomposed woody organic material,40,5
328224,coarse-loamy alluvium derived from sedimentary rock,45,4
