tau3,tau2,OOB_R2
50,200,0.8141
50,500,0.8143
50,1000,0.8141
50,2000,0.8144
100,200,0.8144
100,500,0.8141
100,1000,0.814
100,2000,0.814
200,200,0.8145
200,500,0.8142
200,1000,0.8144
200,2000,0.8144
500,200,0.8146
500,500,0.8145
500,1000,0.8149
500,2000,0.8144
1000,200,0.8146
1000,500,0.8147
1000,1000,0.8148
1000,2000,0.8147
