model,R2_mean,R2_lo95,R2_hi95,SE,B
equal,0.8117,0.8072,0.816,0.00224,500
L3,0.8123,0.8082,0.8165,0.00209,500
hier,0.8118,0.8079,0.816,0.0021,500
eq_L3,0.8318,0.8283,0.8353,0.00177,500
eq_hier,0.8318,0.8285,0.8348,0.00171,500
all_four,0.836,0.8326,0.8395,0.00178,500
